folder 14 size train: 60718 size cv: 15302 AUC (fold 3/5): 0.828704
folder 14 size train: 60897 size cv: 15123 AUC (fold 4/5): 0.834571
folder 14 size train: 60893 size cv: 15127 AUC (fold 5/5): 0.836453
==============================================================================================
folder 15 size train: 60754 size cv: 15266 AUC (fold 1/5): 0.849515
folder 15 size train: 60813 size cv: 15207 AUC (fold 2/5): 0.840325
folder 15 size train: 60955 size cv: 15065 AUC (fold 3/5): 0.829796
folder 15 size train: 60704 size cv: 15316 AUC (fold 4/5): 0.833518
folder 15 size train: 60854 size cv: 15166 AUC (fold 5/5): 0.838770
==============================================================================================
folder 16 size train: 60876 size cv: 15144 AUC (fold 1/5): 0.833560
folder 16 size train: 60785 size cv: 15235 AUC (fold 2/5): 0.826398
folder 16 size train: 60817 size cv: 15203 AUC (fold 3/5): 0.849534
folder 16 size train: 60911 size cv: 15109 AUC (fold 4/5): 0.838919
folder 16 size train: 60691 size cv: 15329 AUC (fold 5/5): 0.836917
==============================================================================================
folder 17 size train: 60996 size cv: 15024 AUC (fold 1/5): 0.828814
folder 17 size train: 60808 size cv: 15212 AUC (fold 2/5): 0.843194
folder 17 size train: 60770 size cv: 15250 AUC (fold 3/5): 0.844807
folder 17 size train: 60767 size cv: 15253 AUC (fold 4/5): 0.829957
folder 17 size train: 60739 size cv: 15281 AUC (fold 5/5): 0.839106
==============================================================================================
folder 18 size train: 60781 size cv: 15239 AUC (fold 1/5): 0.826792
folder 18 size train: 60992 size cv: 15028 AUC (fold 2/5): 0.837101
folder 18 size train: 60814 size cv: 15206 AUC (fold 3/5): 0.850499
folder 18 size train: 60679 size cv: 15341 AUC (fold 4/5): 0.841258
folder 18 size train: 60814 size cv: 15206 AUC (fold 5/5): 0.834838
==============================================================================================
folder 19 size train: 60774 size cv: 15246 AUC (fold 1/5): 0.836186
folder 19 size train: 60653 size cv: 15367 AUC (fold 2/5): 0.829682
folder 19 size train: 60863 size cv: 15157 AUC (fold 3/5): 0.851516
folder 19 size train: 60897 size cv: 15123 AUC (fold 4/5): 0.830693
folder 19 size train: 60893 size cv: 15127 AUC (fold 5/5): 0.841835
==============================================================================================
 Grand AUC: 0.838932
